選手名	チーム	打率	打席数	打数	安打数	ホームラン数	打点	盗塁	盗塁刺	盗塁成功率	犠打	犠飛	四球	三振	併殺打	出塁率	長打率
山田 哲人	ヤクルト	0.329	646	557	183	38	100	34	4	0.895	0	3	81	111	11	0.416	0.61
中村 剛也	西武	0.278	599	521	145	37	124	1	0	1.0	0	3	68	172	12	0.367	0.559
松田 宣浩	ソフトバンク	0.287	603	533	153	35	94	8	10	0.444	0	8	60	135	17	0.357	0.533
柳田 悠岐	ソフトバンク	0.363	605	502	182	34	99	32	8	0.8	0	1	88	101	9	0.469	0.631
レアード	日本ハム	0.231	554	498	115	34	97	1	0	1.0	0	4	43	129	18	0.301	0.488
李 大浩	ソフトバンク	0.282	584	510	144	31	98	0	1	0.0	0	3	62	109	17	0.368	0.524
中田 翔	日本ハム	0.263	611	539	142	30	102	1	0	1.0	0	7	64	120	11	0.339	0.479
メヒア	西武	0.235	525	473	111	27	89	0	0	0.0	0	2	45	153	14	0.307	0.471
畠山 和洋	ヤクルト	0.268	584	512	137	26	105	0	0	0.0	0	8	62	92	10	0.344	0.471
ロペス	DeNA	0.291	565	516	150	25	73	1	1	0.5	0	3	44	82	14	0.347	0.496
筒香 嘉智	DeNA	0.317	568	496	157	24	93	0	0	0.0	0	2	68	98	5	0.4	0.522
福留 孝介	阪神	0.281	569	495	139	20	76	1	2	0.333	1	7	65	75	15	0.361	0.463
丸 佳浩	広島	0.249	633	530	132	19	63	15	7	0.682	4	4	94	143	4	0.361	0.413
ゴメス	阪神	0.271	601	520	141	17	72	0	1	0.0	0	3	72	134	15	0.364	0.423
糸井 嘉男	オリックス	0.262	565	484	127	17	68	11	4	0.733	0	1	72	78	10	0.366	0.413
森 友哉	西武	0.287	531	474	136	17	68	0	4	0.0	0	3	44	143	5	0.357	0.468
ペーニャ	楽天	0.268	492	406	109	17	40	1	3	0.25	0	0	70	111	5	0.396	0.448
クルーズ	ロッテ	0.255	532	501	128	16	73	0	0	0.0	0	5	24	66	7	0.289	0.401
